,NFLOOR,YRCON,WKHRS,NWKER,HEATP,COOLP,PCTERMN,LAPTPN,PRNTRN,COPIERN,LTOHRP,LTNHRP,DAYLTP,OPEN24,OPNWE,PBAPLUS,RENRFF,RENINS,CENDIV,PBA,FREESTN,RFTILT,WLCNS,BLDSHP,BLDSHP,YRCONC,RENHVC,RENWIN,RENLGT,RENELC,RENINS,RENSTR
243,3,1950,85,45,100.0,100.0,60.0,40.0,45.0,3.0,100.0,0.0,0.0,2,1,28,2.0,2.0,7,14,1.0,1,1,2.0,2.0,3,1.0,1.0,2.0,2.0,2.0,2.0
247,10,1970,60,520,100.0,100.0,526.0,48.0,62.0,14.0,100.0,50.0,0.0,2,2,2,1.0,2.0,1,2,1.0,1,2,2.0,2.0,5,2.0,2.0,1.0,2.0,2.0,2.0
248,7,1984,168,600,50.0,50.0,500.0,15.0,50.0,10.0,40.0,35.0,0.0,1,1,26,2.0,1.0,9,13,1.0,1,3,11.0,11.0,6,1.0,2.0,1.0,1.0,1.0,2.0
249,2,1980,40,2,50.0,50.0,2.0,1.0,1.0,1.0,50.0,50.0,50.0,2,1,11,2.0,2.0,9,5,1.0,1,3,11.0,11.0,6,2.0,2.0,2.0,2.0,2.0,2.0
251,7,1962,168,180,100.0,100.0,936.0,189.0,54.0,20.0,90.0,60.0,10.0,1,1,23,2.0,2.0,7,13,1.0,1,1,8.0,8.0,4,2.0,2.0,1.0,2.0,2.0,2.0
253,3,1968,45,175,100.0,75.0,200.0,175.0,25.0,4.0,98.0,10.0,92.0,2,1,29,1.0,2.0,2,14,1.0,1,1,2.0,2.0,4,1.0,2.0,1.0,1.0,2.0,2.0
256,1,1988,40,65,100.0,100.0,104.0,20.0,155.0,2.0,95.0,5.0,30.0,2,2,2,2.0,2.0,5,2,1.0,3,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
261,1,1966,105,2,85.0,50.0,2.0,1.0,1.0,1.0,80.0,10.0,20.0,2,1,12,2.0,2.0,4,6,1.0,2,3,2.0,2.0,4,2.0,2.0,1.0,1.0,2.0,2.0
263,3,1964,50,50,100.0,100.0,20.0,4.0,7.0,2.0,100.0,15.0,35.0,2,2,2,1.0,2.0,2,2,1.0,1,3,2.0,2.0,4,2.0,1.0,1.0,1.0,2.0,2.0
267,8,1974,168,1000,100.0,98.0,1236.0,456.0,380.0,1.0,100.0,85.0,0.0,1,1,35,2.0,2.0,3,16,1.0,1,1,7.0,7.0,5,2.0,2.0,2.0,2.0,2.0,2.0
